compound_id,compound_name,structure_confirmed,parse_success,computed_canonical_smiles,computed_molecular_formula,recorded_molecular_formula,formula_match,computed_molecular_weight,recorded_molecular_weight,molecular_weight_match,computed_inchikey,recorded_inchikey,inchikey_match,duplicate_connectivity_of,source,source_url,evidence_type,audit_status
9,vestitol,yes,true,COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1,C16H16O4,C16H16O4,true,272.3000,272.29,true,XRVFNNUXNVWYTI-UHFFFAOYSA-N,XRVFNNUXNVWYTI-UHFFFAOYSA-N,true,,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/92503,DATABASE+COMPUTED,PASS
10,4'-O-methylpreglabridin,yes,true,COc1ccc(C2COc3c(ccc(O)c3CC=C(C)C)C2)c(O)c1,C21H24O4,C21H24O4,true,340.4190,340.4,true,CFIGHBKJMKQTBW-UHFFFAOYSA-N,CFIGHBKJMKQTBW-UHFFFAOYSA-N,true,,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/44257508,DATABASE+COMPUTED,PASS
11,4'-O-methylglabridin,yes,true,COc1ccc([C@@H]2COc3c(ccc4c3C=CC(C)(C)O4)C2)c(O)c1,C21H22O4,C21H22O4,true,338.4030,338.4,true,ZZAIPFIGEGQNHP-AWEZNQCLSA-N,ZZAIPFIGEGQNHP-AWEZNQCLSA-N,true,,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/9927807,DATABASE+COMPUTED,PASS
13,demethylvestitol,yes,true,Oc1ccc(C2COc3cc(O)ccc3C2)c(O)c1,C15H14O4,C15H14O4,true,258.2730,258.27,true,CJZBXHPHEBCWLV-UHFFFAOYSA-N,CJZBXHPHEBCWLV-UHFFFAOYSA-N,true,,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/585939,DATABASE+COMPUTED,PASS
14,preglabridin,yes,true,CC(C)=CCc1c(O)ccc2c1OC[C@H](c1ccc(O)cc1O)C2,C20H22O4,C20H22O4,true,326.3920,326.4,true,HJYNNFAPXVIBTD-CQSZACIVSA-N,HJYNNFAPXVIBTD-CQSZACIVSA-N,true,,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/51136421,DATABASE+COMPUTED,PASS
15,glabridin,yes,true,CC1(C)C=Cc2c(ccc3c2OC[C@@H](c2ccc(O)cc2O)C3)O1,C20H20O4,C20H20O4,true,324.3760,324.4,true,LBQIJVLKGVZRIW-ZDUSSCGKSA-N,LBQIJVLKGVZRIW-ZDUSSCGKSA-N,true,,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/124052,DATABASE+COMPUTED,PASS
